year,baseline_return,baseline_maxdd,macro_stable_return,macro_stable_maxdd,excess_return,maxdd_improve,winner_return,winner_maxdd
2016,0.0,0.0,0.0,0.0,0.0,0.0,baseline,baseline
2017,-0.008720659337679626,-0.02647056095525091,0.016775415553633266,-0.025998905724438304,0.025496074891312892,0.0004716552308126065,macro_stable,macro_stable
2018,0.04061168329490883,-0.02265390357828001,-0.02074984426634907,-0.04817713466324147,-0.0613615275612579,-0.025523231084961462,baseline,baseline
2019,0.08092617802658841,-0.018525302513132336,0.10361261274287781,-0.015703127929219574,0.022686434716289394,0.002822174583912762,macro_stable,macro_stable
2020,0.040309223398537375,-0.03273041237945806,0.08115278711668705,-0.06123822569704329,0.04084356371814968,-0.02850781331758523,macro_stable,baseline
2021,0.0418683002470579,-0.016577079762280844,0.05741753596516519,-0.018327468026508753,0.01554923571810729,-0.001750388264227909,macro_stable,baseline
2022,-0.0005690000494863456,-0.017674590552470004,-0.004462456470247345,-0.01918945464910904,-0.003893456420760999,-0.0015148640966390348,baseline,baseline
2023,0.038828903577199814,-0.019544903767642174,0.04737718657579504,-0.007144048139937964,0.008548282998595225,0.01240085562770421,macro_stable,macro_stable
2024,0.08955086764523457,-0.007489240894513194,0.09677265949171487,-0.02163046881437436,0.007221791846480308,-0.014141227919861166,macro_stable,baseline
2025,0.005024927925608491,-0.06646543988104414,0.02592887633805474,-0.05467109153645455,0.02090394841244625,0.01179434834458959,macro_stable,macro_stable
2026,0.016414827553566935,-0.023425293210807108,0.013401578988152751,-0.01530656248626916,-0.003013248565414184,0.008118730724537948,baseline,macro_stable
